,open_datetime,open_price,order_type,volume,sl,tp,close_datetime,close_price,profit,status,pnl
54,11/25/2022 10:30,1752.08,emaSell,100,1750.47,1750.47,11/25/2022 10:30,1750.47,160.99999999999,closed,36126.00000000007
55,11/25/2022 11:30,1750.47,emaSell,100,1750.47,1750.47,11/25/2022 11:30,1750.47,0.0,closed,36126.00000000007
56,11/25/2022 13:45,1751.08,emaSell,100,1750.47,1750.47,11/25/2022 13:45,1750.47,60.999999999989996,closed,36187.000000000065
57,11/28/2022 1:15,1750.92,Sell,100,1749.95,1749.95,11/28/2022 1:15,1749.95,97.00000000000273,closed,36284.00000000007
58,11/28/2022 16:00,1751.04,emaSell,100,1742.9,1742.9,11/28/2022 16:00,1742.9,813.9999999999873,closed,37098.00000000006
59,11/29/2022 1:30,1741.24,Sell,100,1742.9,1742.9,11/29/2022 1:30,1742.9,-166.00000000000819,closed,36932.00000000005
60,11/29/2022 2:30,1741.58,Sell,100,1742.9,1742.9,11/29/2022 2:30,1742.9,-132.00000000001637,closed,36800.00000000004
61,11/29/2022 5:15,1749.63,emaBuy,100,1755.36,1755.36,11/29/2022 5:15,1755.36,572.9999999999791,closed,37373.000000000015
62,11/29/2022 20:15,1750.12,Sell,100,1749.34,1749.34,11/29/2022 20:15,1749.34,77.99999999999727,closed,37451.000000000015
63,11/30/2022 1:30,1748.88,Sell,100,1749.34,1749.34,11/30/2022 1:30,1749.34,-45.9999999999809,closed,37405.00000000003
64,11/30/2022 2:45,1751.17,emaBuy,100,1763.68,1763.68,11/30/2022 2:45,1763.68,1250.999999999999,closed,38656.00000000003
65,11/30/2022 3:30,1753.98,emaBuy,100,1763.68,1763.68,11/30/2022 3:30,1763.68,970.0000000000045,closed,39626.00000000003
66,11/30/2022 16:30,1762.33,Buy,100,1757.1,1757.1,11/30/2022 16:30,1757.1,-523.0000000000018,closed,39103.00000000003
67,11/30/2022 17:00,1752.06,Sell,100,1746.81,1746.81,11/30/2022 17:00,1746.81,525.0,closed,39628.00000000003
68,12/1/2022 6:30,1779.32,Buy,100,1779.43,1779.43,12/1/2022 6:30,1779.43,11.000000000012733,closed,39639.000000000044
